"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SOT-223-3_TabPin2";1;"AMS1117";;;
2;"D3,D2";"D_SMA";2;"D_Schottky";;;
3;"J1";"USB_A_Molex_67643_Horizontal";1;"USB_A";;;
4;"R1,R3";"R_0805_2012Metric";2;"68";;;
5;"C7";"C_1210_3225Metric";1;"22uF";;;
6;"C3";"C_1206_3216Metric";1;"4.7uF";;;
7;"C6";"C_1210_3225Metric";1;"47uF";;;
8;"R2";"R_0805_2012Metric";1;"2.2K";;;
9;"C1,C2";"C_0805_2012Metric";2;"22pF";;;
10;"R4";"R_0805_2012Metric";1;"10K";;;
11;"C5,C4";"C_0805_2012Metric";2;"0.1uF";;;
12;"R5";"R_0805_2012Metric";1;"3.3K";;;
13;"D1";"LED_D3.0mm";1;"LED";;;
14;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal";;;
15;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-A";;;
